Name,Species,Weeks,Sex,Condition,Trial ,Correct
Maggie,Wolf,13,F,proximal,4,1
Maggie,Wolf,13,F,proximal,5,1
Maggie,Wolf,13,F,proximal,6,1
Maggie,Wolf,13,F,marker,1,1
Maggie,Wolf,13,F,marker,2,0
Maggie,Wolf,13,F,marker,3,0
Maggie,Wolf,13,F,marker,4,0
Maggie,Wolf,13,F,marker,5,1
Maggie,Wolf,13,F,marker,6,0
Maggie,Wolf,13,F,asymmetrical,1,1
Maggie,Wolf,13,F,asymmetrical,2,0
Maggie,Wolf,13,F,asymmetrical,3,1
Maggie,Wolf,13,F,asymmetrical,4,1
Maggie,Wolf,13,F,asymmetrical,5,1
Maggie,Wolf,13,F,asymmetrical,6,0
Maggie,Wolf,13,F,odor,1,0
Maggie,Wolf,13,F,odor,2,0
Maggie,Wolf,13,F,odor,3,0
Maggie,Wolf,13,F,odor,4,1
Maggie,Wolf,13,F,odor,5,0
Maggie,Wolf,13,F,odor,6,0
Skye,Wolf,13,F,proximal,1,1
Skye,Wolf,13,F,proximal,2,1
Skye,Wolf,13,F,proximal,3,1
Skye,Wolf,13,F,proximal,4,1
Skye,Wolf,13,F,proximal,5,0
Skye,Wolf,13,F,proximal,6,1
Skye,Wolf,13,F,marker,1,1
Skye,Wolf,13,F,marker,2,0
Skye,Wolf,13,F,marker,3,1
Skye,Wolf,13,F,marker,4,0
Skye,Wolf,13,F,marker,5,0
Skye,Wolf,13,F,marker,6,1
Skye,Wolf,13,F,asymmetrical,1,0
Skye,Wolf,13,F,asymmetrical,2,1
Skye,Wolf,13,F,asymmetrical,3,0
Skye,Wolf,13,F,asymmetrical,4,1
Skye,Wolf,13,F,asymmetrical,5,0
Skye,Wolf,13,F,asymmetrical,6,1
Skye,Wolf,13,F,odor,1,0
Skye,Wolf,13,F,odor,2,1
Skye,Wolf,13,F,odor,3,0
Skye,Wolf,13,F,odor,4,0
Skye,Wolf,13,F,odor,5,1
Skye,Wolf,13,F,odor,6,1
Scarlet,Wolf,13,F,proximal,1,0
Scarlet,Wolf,13,F,proximal,2,1
Scarlet,Wolf,13,F,proximal,3,1
Scarlet,Wolf,13,F,proximal,4,1
Scarlet,Wolf,13,F,proximal,5,0
Scarlet,Wolf,13,F,proximal,6,0
Scarlet,Wolf,13,F,marker,1,1
Scarlet,Wolf,13,F,marker,2,1
Scarlet,Wolf,13,F,marker,3,1
Scarlet,Wolf,13,F,marker,4,1
Scarlet,Wolf,13,F,marker,5,1
Scarlet,Wolf,13,F,marker,6,0
Scarlet,Wolf,13,F,asymmetrical,1,0
Scarlet,Wolf,13,F,asymmetrical,2,1
Scarlet,Wolf,13,F,asymmetrical,3,1
Scarlet,Wolf,13,F,asymmetrical,4,1
Scarlet,Wolf,13,F,asymmetrical,5,1
Scarlet,Wolf,13,F,asymmetrical,6,0
Scarlet,Wolf,13,F,odor,1,1
Scarlet,Wolf,13,F,odor,2,0
Scarlet,Wolf,13,F,odor,3,1
Scarlet,Wolf,13,F,odor,4,0
Scarlet,Wolf,13,F,odor,5,0
Scarlet,Wolf,13,F,odor,6,0
Alaina,Wolf,12,F,proximal,1,1
Alaina,Wolf,12,F,proximal,2,1
Alaina,Wolf,12,F,proximal,3,1
Alaina,Wolf,12,F,proximal,4,1
Alaina,Wolf,12,F,proximal,5,0
Alaina,Wolf,12,F,proximal,6,1
Alaina,Wolf,12,F,marker,1,0
Alaina,Wolf,12,F,marker,2,0
Alaina,Wolf,12,F,marker,3,0
Alaina,Wolf,12,F,marker,4,1
Alaina,Wolf,12,F,marker,5,1
Alaina,Wolf,12,F,marker,6,1
Alaina,Wolf,12,F,asymmetrical,1,1
Alaina,Wolf,12,F,asymmetrical,2,0
Alaina,Wolf,12,F,asymmetrical,3,1
Alaina,Wolf,12,F,asymmetrical,4,1
Alaina,Wolf,12,F,asymmetrical,5,1
Alaina,Wolf,12,F,asymmetrical,6,1
Alaina,Wolf,12,F,odor,1,0
Alaina,Wolf,12,F,odor,2,0
Alaina,Wolf,12,F,odor,3,1
Alaina,Wolf,12,F,odor,4,0
Alaina,Wolf,12,F,odor,5,1
Alaina,Wolf,12,F,odor,6,0
Clay,Wolf,12,M,proximal,1,1
Clay,Wolf,12,M,proximal,2,0
Clay,Wolf,12,M,proximal,3,0
Clay,Wolf,12,M,proximal,4,1
Clay,Wolf,12,M,proximal,5,1
Clay,Wolf,12,M,proximal,6,1
Clay,Wolf,12,M,marker,1,1
Clay,Wolf,12,M,marker,2,1
Clay,Wolf,12,M,marker,3,0
Clay,Wolf,12,M,marker,4,0
Clay,Wolf,12,M,marker,5,1
Clay,Wolf,12,M,marker,6,0
Clay,Wolf,12,M,asymmetrical,1,0
Clay,Wolf,12,M,asymmetrical,2,1
Clay,Wolf,12,M,asymmetrical,3,0
Clay,Wolf,12,M,asymmetrical,4,0
Clay,Wolf,12,M,asymmetrical,5,1
Clay,Wolf,12,M,asymmetrical,6,0
Clay,Wolf,12,M,odor,1,1
Clay,Wolf,12,M,odor,2,1
Clay,Wolf,12,M,odor,3,0
Clay,Wolf,12,M,odor,4,0
Clay,Wolf,12,M,odor,5,0
Clay,Wolf,12,M,odor,6,0
Cherri,Wolf,12,F,proximal,1,1
