Name,Species,Sex,Unfamiliar Human,Familiar Human,Unfamiliar Object,Familiar Object,Temperament Weeks,Working Memory,Working Memory Weeks,Pointing Gesture,Marker Gesture,Body vs Point Control,Odor Control,Gesture Weeks,Inhibitory Control,Inhibitory Control Weeks,Eye Contact,Eye Contact Weeks
CCI06,Dog,F,7,7,6,4,7,NA,7,NA,NA,NA,NA,NA,6,7,1.53,7
CCI07,Dog,M,6,5,6,6,7,17,7,4,5,3,2,7,6,7,0,7
CCI08,Dog,M,4,5,5,4,7,20,7,NA,NA,NA,NA,NA,7,7,0,7
CCI09,Dog,F,7,8,6,1,7,8,7,3,5,0,2,7,7,7,0,7
CCI10,Dog,F,7,7,8,NA,7,10,7,3,3,0,1,7,7,7,3.88,7
CCI11,Dog,M,8,6,8,2,7,20,7,NA,NA,NA,NA,NA,4,7,0,7
CCI12,Dog,M,7,6,6,1,7,20,7,NA,NA,NA,NA,NA,5,7,3.07,7
CCI13,Dog,F,2,7,7,4,7,20,7,NA,NA,NA,NA,NA,NA,NA,8.27,7
CCI14,Dog,M,5,6,1,5,7,20,7,NA,NA,NA,NA,NA,7,7,0,7
CCI15,Dog,M,2,6,7,1,7,17,7,4,5,3,2,7,8,7,12.84,7
CCI16,Dog,F,7,6,8,7,7,20,7,NA,NA,NA,NA,NA,5,7,0,7
CCI17,Dog,F,5,7,7,6,7,4,7,5,4,6,6,7,8,7,1.79,7
CCI18,Dog,F,8,7,7,2,7,20,8,NA,NA,NA,NA,NA,5,8,NA,NA
CCI19,Dog,M,5,7,6,NA,7,14,8,6,5,0,1,8,7,8,6.21,8
CCI20,Dog,F,7,7,5,0,7,20,8,1,6,1,4,8,6,8,1.81,8
CCI21,Dog,M,7,8,7,7,7,20,8,NA,NA,NA,NA,NA,5,8,6.91,8
CCI22,Dog,F,8,7,8,4,8,20,8,NA,NA,NA,NA,NA,7,8,1.75,8
CCI23,Dog,F,5,5,5,2,8,20,8,NA,NA,NA,NA,NA,9,8,7.79,8
CCI24,Dog,M,5,7,7,6,8,4,8,4,6,1,3,8,5,8,0.95,8
CCI25,Dog,M,7,7,7,3,8,7,8,4,6,3,3,8,7,8,7.72,8
CCI26,Dog,M,8,6,5,6,8,4,8,4,6,1,4,8,4,8,10.13,8
CCI27,Dog,M,6,6,7,8,8,14,8,6,6,3,4,8,7,8,0.34,8
CCI28,Dog,F,8,7,6,0,8,20,8,NA,NA,NA,NA,NA,9,8,2.89,8
CCI29,Dog,F,8,8,7,7,8,15,8,6,5,0,3,8,8,8,0,8
CCI30,Dog,F,4,4,7,2,8,20,8,NA,NA,NA,NA,NA,8,8,3.35,8
CCI31,Dog,M,3,4,3,2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CCI32,Dog,M,7,5,6,4,8,4,8,5,5,0,3,8,9,8,1.66,8
